side,horizon_minutes,feature_group,head,symbol,folds,threshold_mean,threshold_std,threshold_min,threshold_max,threshold_range,fallback_rate,symbol_specific_rate,test_precision_mean,test_precision_std,test_coverage_mean,stable_threshold
SHORT,60,position_plus_topology,hold,BTCUSDT,3,0.3583333333333334,0.08249579113843061,0.3,0.47500000000000014,0.17500000000000016,0.0,1.0,0.4652144241948755,0.025589071094434195,0.6763229678123294,False
SHORT,60,position_plus_topology,hold,ETHUSDT,3,0.3,0.0,0.3,0.3,0.0,0.0,1.0,0.4597561135592856,0.021373748737150387,0.9567921440261866,True
SHORT,60,position_plus_topology,hold,SOLUSDT,3,0.30833333333333335,0.011785113019775804,0.3,0.325,0.025000000000000022,0.0,1.0,0.4664264304568248,0.01155619000823929,0.9970540098199673,True
SHORT,60,position_plus_topology_compact_matrix,exit,ALL,3,0.40833333333333344,0.031180478223116207,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.0,0.0,0.45033629815367754,0.015811144213325766,0.5411347517730497,True
SHORT,60,position_plus_topology_compact_matrix,exit,BTCUSDT,3,0.4333333333333334,0.031180478223116207,0.4000000000000001,0.47500000000000014,0.07500000000000007,0.6666666666666666,1.0,0.4889253244697464,0.06281556035691706,0.2916530278232406,True
SHORT,60,position_plus_topology_compact_matrix,exit,ETHUSDT,3,0.38333333333333336,0.062360956446232414,0.3,0.4500000000000001,0.15000000000000013,0.0,1.0,0.4634585160074243,0.021900388249108255,0.5184397163120568,False
SHORT,60,position_plus_topology_compact_matrix,exit,SOLUSDT,3,0.3,0.0,0.3,0.3,0.0,0.0,1.0,0.4476268412438625,0.014470035144435161,1.0,True
SHORT,60,position_plus_topology_compact_matrix,hold,ALL,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.45646908615600434,0.015180100185829043,0.962156755773777,True
SHORT,60,position_plus_topology_compact_matrix,hold,BTCUSDT,3,0.3333333333333333,0.04714045207910321,0.3,0.4000000000000001,0.10000000000000009,0.0,1.0,0.45082328072224076,0.009339080491499948,0.8677577741407528,True
SHORT,60,position_plus_topology_compact_matrix,hold,ETHUSDT,3,0.34166666666666673,0.031180478223116207,0.3,0.37500000000000006,0.07500000000000007,0.0,1.0,0.46079737192641507,0.021508124162909807,0.9501363884342607,True
